Symbol,Name
USDTRY,USD/TRY
EURTRY,EUR/TRY
GBPTRY,GBP/TRY
CHFTRY,CHF/TRY
JPYTRY,JPY/TRY
RUBTRY,RUB/TRY
EURUSD,EUR/USD
USDEUR,USD/EUR
USDGBP,USD/GBP
GBPUSD,GBP/USD
EURGBP,EUR/GBP
GBPEUR,GBP/EUR
